Method_ID,SR_L2,SR_L1,SR_LC,SR_ME,PI_L2,PI_L1,PI_LC,PI_ME,SW_L2,SW_L1,SW_LC,SW_ME,SQC_L2,SQC_L1,SQC_LC,SQC_ME
M1,0.16666666666666666,0.29759902550978623,0.2521540126357116,0.99997996247465,0.16666666666666666,0.08349165978775387,0.42419276164688086,4.4208514399413086e-17,0.16666666666666666,0.1580671124217367,0.25246729350262076,0.00194313962984797,0.16666666666666666,0.17713754832182013,0.38615453452370385,0.02670077979583326
M2,0.16666666666666666,0.01507787178889757,0.23844974744364408,4.366641000487777e-6,0.16666666666666666,0.01838234999992155,0.1894159265930453,1.4812054253285654e-20,0.16666666666666666,0.00376277763602579,0.23634971267758031,1.4227237716129609e-11,0.16666666666666666,0.1796294675890679,0.20914554387004053,1.606300594585021e-5
M3,0.16666666666666666,0.16420406171694102,0.17863955102642315,1.4036962859019584e-5,0.16666666666666666,0.0129583669952758,0.13281885735987906,0.9999085161335544,0.16666666666666666,0.3486425654561977,0.17961038308028032,0.00618609485031394,0.16666666666666666,0.108957594773438,0.17866673325009017,8.49431992338305e-76
M4,0.16666666666666666,0.18515229606529784,0.20756247824906232,1.1182611079876115e-10,0.16666666666666666,0.44442827138587526,0.17538034895245985,9.148253214809596e-5,0.16666666666666666,0.1140485863816712,0.20681517816477196,0.49241890860647025,0.16666666666666666,0.17646454016266191,0.07020698399517884,0.9581833182615096
M5,0.16666666666666666,0.2202945739028634,4.653201006938564e-5,1.633809664371575e-6,0.16666666666666666,0.43895700679137656,0.00130116145311769,1.334297521603436e-9,0.16666666666666666,0.2745949067218019,7.604809493538936e-4,0.4994518568991407,0.16666666666666666,0.18001971347934917,0.00397825956260791,2.1454797338328697e-4
M6,0.16666666666666666,0.11767217101621393,0.12314767863508946,1.2356480644787264e-61,0.16666666666666666,0.001782345039797,0.07689094399461721,1.730585605517404e-38,0.16666666666666666,0.1008840513825666,0.1239969516253927,6.743181642048343e-73,0.16666666666666666,0.17779113567366284,0.15184794479837865,0.01488529096332787
