V1,V2,V3,V4,V5,V6
2.35318611564611e-5,1.6753889631263607e-10,0.02338813351194177,0.272665993986114,0.7039223404732489,2.071305460340887e-71
0.9999799624745718,4.366640986421998e-6,1.403696294241462e-5,1.1182611150396682e-10,1.633809673358508e-6,1.2356480465287882e-61
0.9999799624743658,4.366640949874272e-6,1.4036963161254158e-5,1.1182611335974261e-10,1.633809696977061e-6,1.2356479992384428e-61
0.9999799624744947,4.366640972665502e-6,1.4036963024295399e-5,1.118261121971351e-10,1.6338096821874582e-6,1.2356480288771534e-61
0.9999799624741508,4.36664091522051e-6,1.4036963386222333e-5,1.1182611531085138e-10,1.6338097215582976e-6,1.2356479490911868e-61
0.9999799624743673,4.366640950126249e-6,1.4036963159651982e-5,1.1182611334592737e-10,1.6338096968025675e-6,1.2356479995927958e-61
0.9999799624743673,4.36664095013406e-6,1.403696315960331e-5,1.1182611334551023e-10,1.633809696797291e-6,1.235647999603472e-61
1.718265742208741e-5,0.999982817341959,5.354207275365196e-14,6.5338336561932255e-15,5.588347897114472e-13,4.119355716515825e-43
0.9999799624743075,4.366640947009827e-6,1.403696321579418e-5,1.1182611391564965e-10,1.6338097035143814e-6,1.2356479841612665e-61
0.99997996247426435,4.366640933553528e-6,1.4036963267340717e-5,1.1182611428016246e-10,1.6338097085712394e-6,1.235647975579277e-61
0.9999799624743759,4.366640951628534e-6,1.4036963150587598e-5,1.1182611326889489e-10,1.633809695823136e-6,1.2356480015575772e-61
0.9999799624746283,4.366640996582225e-6,1.4036962882100673e-5,1.1182611099375617e-10,1.6338096668576097e-6,1.2356480595173253e-61
0.9999799624746499,4.366641000487777e-6,1.4036962859019584e-5,1.1182611079876117e-10,1.633809664371575e-6,1.2356480644787264e-61
0.9999799624743673,4.366640950127575e-6,1.403696315964368e-5,1.1182611334585587e-10,1.633809696801656e-6,1.2356479995946571e-61
2.353186115580007e-5,1.6753889631303702e-10,0.02338813351140806,0.2726659939912759,0.7039223404686213,2.071305460410961e-71
0.999979962474353,4.366640951840862e-6,1.4036963170666388e-5,1.1182611349242763e-10,1.6338096983611568e-6,1.2356479953405264e-61
0.9999799624743273,4.366640943619518e-6,1.4036963201520893e-5,1.1182611370816941e-10,1.6338097013711733e-6,1.2356479902905514e-61
0.9999799624743672,4.366640950120245e-6,1.4036963159689533e-5,1.1182611334624997e-10,1.6338096968066508e-6,1.2356479995845778e-61
0.9999799624743678,4.366640950201025e-6,1.403696315919032e-5,1.1182611334197759e-10,1.6338096967524955e-6,1.235647999693799e-61
0.9999799624743668,4.36664095006176e-6,1.4036963160057994e-5,1.1182611334941952e-10,1.6338096968467277e-6,1.235647999503312e-61
1.7182657420036256e-5,0.999982817341961,5.354207274687515e-14,6.533833655788435e-15,5.58834789653297e-13,4.119355718212709e-43
1.7182657419193065e-5,0.9999828173419619,5.3542072744089184e-14,6.533833655621858e-15,5.588347896293771e-13,4.119355718910734e-43
0.9999799624743676,4.366640950189776e-6,1.4036963159259186e-5,1.1182611334256556e-10,1.6338096967599628e-6,1.2356479996788027e-61
0.9999799624744223,4.366640959840294e-6,1.403696310117115e-5,1.1182611284924628e-10,1.6338096904857485e-6,1.2356480122574976e-61
1.718265744351848e-5,0.9999828173419376,5.3542072824460214e-14,6.5338336604251046e-15,5.588347903191516e-13,4.119355698782928e-43
0.9999799624743676,4.366640950192205e-6,1.4036963159244202e-5,1.1182611334243802e-10,1.6338096967583403e-6,1.2356479996820339e-61
0.9999799624743878,4.3666409537211745e-6,1.4036963137966736e-5,1.1182611316164837e-10,1.633809694459508e-6,1.235648004292734e-61
0.9999799624743667,4.3666409500326255e-6,1.4036963160243731e-5,1.1182611335102219e-10,1.633809696866968e-6,1.2356479994622225e-61
0.9999799624743672,4.3666409501139864e-6,1.4036963159728506e-5,1.1182611334658409e-10,1.6338096968108794e-6,1.2356479995760088e-61
0.9999799624743672,4.366640950105601e-6,1.4036963159781068e-5,1.1182611334703621e-10,1.6338096968165996e-6,1.2356479995644194e-61
0.9999799624743853,4.3666409532676705e-6,1.4036963140696055e-5,1.1182611318482763e-10,1.6338096947543073e-6,1.2356480037017123e-61
0.9999799624743667,4.36664095004215e-6,1.4036963160182965e-5,1.1182611335049656e-10,1.6338096968603332e-6,1.2356479994756731e-61
0.9999799624745416,4.366640981004458e-6,1.4036962974547553e-5,1.1182611177571305e-10,1.6338096768213887e-6,1.2356480396115262e-61
0.9999799624743675,4.366640950169082e-6,1.4036963159386603e-5,1.118261133436561e-10,1.63380969677378e-6,1.2356479996509532e-61
0.9999799624743694,4.366640950484773e-6,1.4036963157468307e-5,1.1182611332731852e-10,1.6338096965662597e-6,1.235648000067924e-61
1.7182657442337678e-5,0.9999828173419387,5.354207282055821e-14,6.53383366019172e-15,5.58834790285654e-13,4.119355699760244e-43
0.9999799624743699,4.3666409505980675e-6,1.4036963156783825e-5,1.1182611332150105e-10,1.633809696492299e-6,1.2356480002163028e-61
1.7182657420905416e-5,0.9999828173419602,5.354207274974634e-14,6.5338336559597945e-15,5.588347896779257e-13,4.1193557174940195e-43
0.9999799624743663,4.366640949950722e-6,1.4036963160766686e-5,1.1182611335553575e-10,1.633809696923953e-6,1.2356479993463641e-61
1.7182657420089757e-5,0.999982817341961,5.354207274705187e-14,6.533833655798788e-15,5.588347896548059e-13,4.119355718168804e-43
1.7182657428033988e-5,0.999982817341953,5.354207277329925e-14,6.533833657367433e-15,5.588347898800703e-13,4.1193557115953465e-43
0.9999799624741379,4.3666409133149534e-6,1.403696339957765e-5,1.1182611542890766e-10,1.6338097230329538e-6,1.2356479460350055e-61
0.9999799624744004,4.366640955950591e-6,1.4036963124654688e-5,1.1182611304885936e-10,1.633809693023484e-6,1.2356480071660503e-61
0.9999799624743679,4.366640950220238e-6,1.4036963159072552e-5,1.1182611334097325e-10,1.6338096967397517e-6,1.235647999719436e-61
1.7182657444075034e-5,0.9999828173419372,5.3542072826298695e-14,6.5338336605348564e-15,5.588347903349234e-13,4.119355698322515e-43
0.9999799624743682,4.3666409502940114e-6,1.4036963158623403e-5,1.1182611333714657e-10,1.633809696691142e-6,1.2356479998172077e-61
0.9999799624743662,4.3666409499435016e-6,1.4036963160812764e-5,1.1182611335593423e-10,1.6338096969289683e-6,1.2356479993361797e-61
0.9999799624743682,4.3666409502622324e-6,1.4036963158816574e-5,1.1182611333879095e-10,1.6338096967120442e-6,1.2356479997752052e-61
1.7182657427871486e-5,0.9999828173419533,5.354207277276284e-14,6.533833657335493e-15,5.588347898754723e-13,4.119355711729636e-43
0.9999799624743734,4.366640951205163e-6,1.403696315312048e-5,1.1182611329036577e-10,1.6338096960964471e-6,1.2356480010104543e-61
0.999979962474321,4.366640942566225e-6,1.4036963208215867e-5,1.1182611376588988e-10,1.6338097021002647e-6,1.2356479888100297e-61
0.9999799624744152,4.366640958560567e-6,1.4036963108841992e-5,1.1182611291431217e-10,1.6338096913137391e-6,1.2356480105992372e-61
0.9999799624743653,4.3666409497816336e-6,1.4036963161845658e-5,1.1182611336484892e-10,1.6338096970415165e-6,1.235647999107413e-61
1.718265742223813e-5,0.9999828173419589,5.3542072754149187e-14,6.5338336562229845e-15,5.588347897157217e-13,4.1193557163911355e-43
0.999979962474428,4.36664096084431e-6,1.403696309511615e-5,1.118261127977938e-10,1.633809689831517e-6,1.235648013569728e-61
0.9999799624743828,4.366640952891841e-6,1.4036963143149598e-5,1.1182611320613565e-10,1.633809695022586e-6,1.2356480031537467e-61
0.9999799624743657,4.366640949849234e-6,1.403696316141399e-5,1.1182611336112359e-10,1.633809696994486e-6,1.2356479992030426e-61
0.9999799624743397,4.36664094567737e-6,1.4036963188477736e-5,1.1182611359578559e-10,1.6338096999511808e-6,1.2356479931720852e-61
0.9999799624743668,4.366640950046215e-6,1.403696316015706e-5,1.118261133502733e-10,1.6338096968575037e-6,1.2356479994814678e-61
1.7182657419255515e-5,0.9999828173419618,5.3542072744295765e-14,6.533833655634208e-15,5.5883478963115e-13,4.119355718858926e-43
0.9999799624743677,4.366640950216025e-6,1.4036963159098407e-5,1.1182611334119412e-10,1.633809696742555e-6,1.2356479997137815e-61
0.9999799624743612,4.366640949180813e-6,1.4036963166107188e-5,1.1182611340263678e-10,1.6338096975129166e-6,1.2356479981282535e-61
0.9999799624742755,4.366640935080021e-6,1.4036963256028048e-5,1.1182611417866307e-10,1.6338097073109997e-6,1.2356479782177855e-61
1.7182657469496668e-5,0.9999828173419116,5.354207291029132e-14,6.533833665554355e-15,5.588347910557673e-13,4.1193556772879314e-43
1.7182657419584824e-5,0.9999828173419616,5.3542072745383446e-14,6.533833655699205e-15,5.588347896404934e-13,4.119355718586484e-43
