Supplier_ID,SR_L2,SR_L1,SR_LC,SR_ME,PI_L2,PI_L1,PI_LC,PI_ME,SW_L2,SW_L1,SW_LC,SW_ME,SQC_L2,SQC_L1,SQC_LC,SQC_ME
A_{83},0.235,0.245,0.235,0.217,0.599,0.628,0.596,0.54,0.508,0.497,0.503,0.549,0.978,0.985,0.977,0.998
A_{84},0.02,0.012,0.026,0,0.534,0.532,0.53,0.417,0.335,0.377,0.337,0.464,0.898,0.918,0.89,0.956
A_{85},0.235,0.248,0.239,0.237,0.616,0.69,0.608,0.578,0.641,0.654,0.639,0.702,0.788,0.814,0.778,0.829
A_{86},0.616,0.615,0.613,0.571,0.71,0.757,0.702,0.701,0.631,0.643,0.629,0.697,0.986,0.99,0.985,0.997
A_{87},0.415,0.45,0.417,0.442,0.659,0.708,0.646,0.643,0.438,0.5,0.438,0.582,0.55,0.559,0.553,0.364
A_{88},0.32,0.342,0.322,0.322,0.227,0.168,0.226,0,0.441,0.502,0.443,0.587,0.989,0.992,0.988,0.998
A_{89},0.485,0.525,0.486,0.505,0.718,0.772,0.711,0.68,0.522,0.51,0.518,0.555,1,1,1,1
A_{90},0.875,0.904,0.872,0.871,0.438,0.457,0.436,0.356,0.293,0.324,0.294,0.398,0.924,0.938,0.918,0.965
A_{91},0.928,0.943,0.93,0.949,0.316,0.276,0.316,0.15,0.441,0.502,0.443,0.584,0.941,0.956,0.938,0.978
A_{92},0.163,0.165,0.165,0.136,0.461,0.476,0.468,0.326,0.215,0.252,0.217,0.275,0.957,0.97,0.954,0.995
A_{93},0.29,0.308,0.291,0.287,0.575,0.609,0.572,0.576,0.404,0.471,0.404,0.537,0.965,0.975,0.963,0.992
A_{94},0.839,0.842,0.839,0.83,0.489,0.514,0.481,0.469,0.363,0.405,0.362,0.472,0.983,0.988,0.982,0.998
A_{95},0.253,0.272,0.259,0.265,0.328,0.292,0.335,0.216,0.226,0.258,0.228,0.306,0.964,0.974,0.962,0.993
A_{96},0.449,0.426,0.443,0.365,0.666,0.709,0.662,0.587,0.338,0.384,0.341,0.465,0.988,0.991,0.987,0.997
A_{97},0.031,0.032,0.029,0.033,0.614,0.643,0.613,0.51,0.48,0.461,0.475,0.511,0.971,0.98,0.969,0.999
A_{98},0.446,0.479,0.432,0.488,0.555,0.608,0.554,0.494,0.508,0.581,0.507,0.66,0.984,0.989,0.983,0.998
A_{99},0.813,0.814,0.815,0.811,0.669,0.673,0.665,0.529,0.392,0.442,0.391,0.508,0.529,0.532,0.517,0.407
A_{100},0.94,0.955,0.941,0.954,0.279,0.237,0.291,0.104,0.542,0.54,0.538,0.587,0.963,0.974,0.96,0.996
