cost_1,cost_0.1,cost_0.01
0.08852355147671256,0.0920292389532671,0.09295710322716437
0.09867074739172534,0.09914175291543183,0.1001484460012574
0.08450694640258352,0.08533176899057691,0.08535539257169784
0.09726203639227862,0.11145291975632904,0.11451883194742232
0.08755326934872565,0.08864384365392067,0.08896322314179034
0.09118011527928717,0.09118011527928717,0.09146316034623121
0.09557306833339531,0.10184449029177375,0.10394251172478348
0.10432597388749215,0.12484784973630442,0.1300325874922306
0.08518641474339508,0.08607889855304972,0.08633314502625297
0.0878400728340989,0.08761953728547614,0.0874126398026845
0.08790208560596476,0.08996201275658047,0.09044522185644328
0.09126614422946694,0.09984973875947428,0.10199335967581263
0.09668214130881125,0.09668214130881125,0.09668214130881125
0.09907535877259759,0.1128117892479979,0.11356475835300436
0.08383002908122358,0.0836190306993244,0.08372633029163663
0.0860827233489717,0.09009581914102512,0.09057660795785552
0.08448971341333783,0.08613524134964667,0.08600565006766869
0.09853608358172389,0.1071070802218376,0.1077349501268304
0.10964564917682526,0.10964564917682526,0.11506178852087909
0.08607679894684218,0.08635194242279835,0.08646222487012042
0.1131680768536529,0.1426756399069179,0.1453379978573095
0.1017384090007821,0.11488747659651904,0.11608750647774196
0.12482140356572524,0.12467717491579992,0.1329834651413005
0.08753342934426564,0.08753342934426564,0.08765407609944703
0.10944711872751721,0.11642777521027863,0.11766947983316077
0.09474021390224935,0.09844687912837981,0.09861281717428451
0.08915547768551157,0.09556375819484665,0.09612853516727494
0.08812106243762986,0.09132213253948412,0.09132826928494736
0.09568962254135384,0.101635828271787,0.1021777221735523
0.09046688820095589,0.1016931032366758,0.10486730118632853
0.08958251440087557,0.0944259446927448,0.09531404918952802
0.08929937848869306,0.08868659131256909,0.08909540534004
0.09245884083617478,0.10443976126741704,0.10453236927404856
0.08993836880217064,0.09638581291966244,0.09668461892881992
0.09085630820654592,0.09606509927773231,0.09677589223453097
0.10214395388116637,0.10576508130199196,0.10579357202254097
0.09733237335103948,0.11150851745754212,0.11163650787686845
0.09647293107550453,0.09755296687754837,0.09824226651721399
0.0876213557222427,0.0888468773899791,0.08877734890548308
0.10310765350501641,0.11911754265875528,0.11974218436341263
0.09928760775207754,0.11332117841158768,0.1126686369265366
0.08589035799632706,0.08881015364061097,0.0889403448420153
0.08793574109281055,0.09123425331773748,0.0914311315385268
0.09425205176265289,0.11244455450917035,0.11935710087445024
0.10076711629525682,0.10076711629525682,0.1016760656224812
0.09788812190893222,0.09788812190893222,0.09813716557413561
0.08469966522464904,0.08378279793335458,0.08379588426028828
0.09174679693459462,0.09496074598094101,0.0955526905378344
0.13967195108906916,0.15217199642772858,0.15266735317654553
0.10295148282135552,0.10653164817175355,0.10787487834813109
0.08497727059488244,0.08497727059488244,0.08504415728322211
0.09125686466226139,0.09125686466226139,0.0915308065357629
0.08526117431051766,0.08639736112697854,0.08650295708426023
0.10125285789072368,0.10827360132479036,0.11006801394460006
0.11311351797579637,0.11311351797579637,0.11690610486624903
0.0877766500971631,0.09345507288245497,0.0942807646995854
0.08636872600830511,0.08675640235157168,0.08634767744069691
0.0889755131057111,0.09173274297762896,0.0919017560797504
0.08946174094949388,0.088760041747272575,0.08886870538958769
0.09999796240959159,0.1189512124196174,0.12400209747639257
0.10090825907358031,0.11333687452360033,0.11457586887005912
0.08690666611348685,0.0872676329407991,0.0874753756722557
0.0880169299908199,0.09275210944710066,0.0931609918219934
0.09687820866446055,0.11523234546228503,0.11984222591769185
0.09384735880040389,0.09683287732374245,0.09735855686664367
0.0839208592264569,0.08450678113650859,0.08445627193895033
0.08704884716461807,0.09171996140387438,0.09211020493293351
0.08525327227608138,0.08757185189446745,0.08782642231497499
0.0930204770800963,0.10002244872060523,0.10160397594239633
0.08731363144563672,0.08459215818888412,0.08440053716296014
0.09221111373429444,0.09970911733923819,0.10100263528731043
0.08856240279891625,0.09345946398838896,0.09364948917163035
0.09780639245156823,0.10227353155085846,0.10291118445418869
0.08555302784322029,0.08808758690869908,0.08814940357869792
0.09753402330470384,0.1008199370243078,0.1019036445941775
0.12478843710511377,0.12478843710511377,0.13359089888802736
0.09091331628942716,0.09313066512983825,0.09347312766073701
0.10179090374651278,0.1262880470193236,0.13350654412716298
0.0988758976293115,0.10203590686499844,0.10403124726680092
0.10589261903586142,0.10589261903586142,0.10589261903586142
0.08606907306310692,0.08913943903486658,0.08941665667901846
0.08724370745911472,0.08788327195909106,0.0878400769968201
0.08577919273126558,0.08609056879605928,0.0860028532604238
0.08977420101046436,0.09159437765510507,0.09182813897503299
0.08533049397164429,0.08754673465922855,0.08769327398400946
0.08317007357690946,0.08291405655632637,0.08292833489717376
0.09077888130689005,0.09207803578859448,0.09263421699865099
0.09631333138529814,0.10984487994966136,0.10462019584969044
0.09248624420274533,0.10422943250383913,0.10432375362113283
0.08632991308321143,0.0870893448846259,0.08733017540721781
0.09694070943584757,0.10003662509776479,0.10018726203556291
0.08790184498152716,0.08935364842044768,0.08946911421091014
0.1122385359720109,0.1348130846681569,0.14042355211253196
0.08746660433329598,0.08760230505126945,0.0874342099699597
0.0961892206790712,0.12556370200706424,0.1269631396844479
0.09313037648317972,0.10464639716931623,0.1086709689267299
0.0935813762224154,0.0935813762224154,0.09410191517512534
0.09707177174416769,0.10033539052135905,0.1021964937746363
0.0832633994675423,0.0834124036964991,0.08347171262331214
0.08345362937539584,0.08375488272268379,0.08381433008508786
