Supplier_ID,SR_L2,SR_L1,SR_LC,SR_ME,PI_L2,PI_L1,PI_LC,PI_ME,SW_L2,SW_L1,SW_LC,SW_ME,SQC_L2,SQC_L1,SQC_LC,SQC_ME
A_{63},0.193,0.214,0.193,0.207,0.536,0.589,0.544,0.468,0.327,0.36,0.325,0.432,0.955,0.967,0.952,0.991
A_{64},0.76,0.782,0.755,0.748,0.518,0.565,0.528,0.471,0.676,0.691,0.673,0.741,0.965,0.974,0.963,0.99
A_{65},0.485,0.534,0.482,0.519,0.218,0.236,0.237,0.041,0.64,0.65,0.639,0.704,0.933,0.952,0.928,0.989
A_{66},0.219,0.253,0.213,0.285,0.419,0.458,0.43,0.346,0.238,0.268,0.238,0.314,0.952,0.967,0.949,0.996
A_{67},0.138,0.147,0.133,0.125,0.603,0.632,0.616,0.502,0.186,0.214,0.188,0.233,0.941,0.957,0.937,0.989
A_{68},0.498,0.533,0.494,0.501,0.692,0.705,0.697,0.668,0.295,0.35,0.299,0.386,0.948,0.962,0.944,0.99
A_{69},0.947,0.965,0.944,0.947,0.617,0.632,0.626,0.474,0.323,0.362,0.324,0.436,0.963,0.974,0.96,0.996
A_{70},0.365,0.396,0.363,0.381,0.565,0.606,0.568,0.611,0.477,0.543,0.475,0.623,0.935,0.953,0.932,0.983
A_{71},0.045,0.059,0.038,0.083,0.377,0.403,0.39,0.312,0.532,0.525,0.526,0.58,0.873,0.901,0.864,0.952
A_{72},0.243,0.264,0.239,0.247,0.481,0.522,0.497,0.332,0.309,0.358,0.311,0.415,0.965,0.974,0.962,0.989
A_{73},0.463,0.463,0.456,0.415,0.375,0.413,0.393,0.317,0.289,0.331,0.29,0.384,0.989,0.992,0.989,0.998
A_{74},0.73,0.746,0.724,0.704,0.407,0.437,0.421,0.365,0.451,0.423,0.446,0.475,0.991,0.993,0.99,0.998
A_{75},0.514,0.566,0.51,0.545,0.412,0.446,0.423,0.389,0.374,0.438,0.376,0.5,0.922,0.944,0.916,0.988
A_{76},0.839,0.865,0.834,0.816,0.474,0.502,0.48,0.485,0,0,0,0,0.917,0.933,0.91,0.963
A_{77},0.713,0.732,0.708,0.711,0.753,0.788,0.749,0.767,0.699,0.721,0.696,0.781,0.969,0.978,0.967,0.992
A_{78},0.431,0.435,0.425,0.395,0.798,0.822,0.793,0.811,0.179,0.21,0.182,0.234,0.849,0.877,0.839,0.922
A_{79},0.43,0.469,0.413,0.467,0.074,0.088,0.081,0.139,0.224,0.256,0.227,0.305,0.923,0.935,0.916,0.961
A_{80},0.243,0.269,0.243,0.262,0.643,0.676,0.645,0.62,0.285,0.326,0.286,0.381,0.949,0.963,0.945,0.99
A_{81},0.85,0.854,0.845,0.82,0.17,0.165,0.169,0.118,0.418,0.388,0.411,0.433,0.983,0.988,0.982,0.998
A_{82},0.224,0.243,0.221,0.237,0.668,0.694,0.672,0.52,1,1,1,1,0.976,0.983,0.974,0.995
A_{83},0.224,0.242,0.218,0.217,0.604,0.631,0.612,0.54,0.508,0.497,0.503,0.549,0.978,0.985,0.977,0.998
A_{84},0,0,0,0,0.526,0.533,0.535,0.417,0.335,0.377,0.337,0.464,0.898,0.918,0.89,0.956
A_{85},0.225,0.245,0.223,0.237,0.623,0.693,0.627,0.578,0.641,0.654,0.639,0.702,0.788,0.814,0.778,0.829
A_{86},0.623,0.626,0.614,0.571,0.735,0.761,0.737,0.701,0.631,0.643,0.629,0.697,0.986,0.99,0.985,0.997
A_{87},0.413,0.454,0.409,0.442,0.674,0.712,0.671,0.643,0.438,0.5,0.438,0.582,0.55,0.559,0.553,0.364
A_{88},0.313,0.342,0.31,0.322,0.164,0.164,0.178,0,0.441,0.502,0.443,0.587,0.989,0.992,0.988,0.998
A_{89},0.485,0.532,0.481,0.505,0.744,0.776,0.748,0.68,0.522,0.51,0.518,0.555,1,1,1,1
A_{90},0.892,0.926,0.885,0.871,0.413,0.457,0.425,0.356,0.293,0.324,0.294,0.398,0.924,0.938,0.918,0.965
A_{91},0.948,0.966,0.945,0.949,0.268,0.273,0.283,0.15,0.441,0.502,0.443,0.584,0.941,0.956,0.938,0.978
A_{92},0.149,0.159,0.145,0.136,0.44,0.477,0.463,0.326,0.215,0.252,0.217,0.275,0.957,0.97,0.954,0.995
A_{93},0.282,0.307,0.277,0.287,0.575,0.611,0.584,0.576,0.404,0.471,0.404,0.537,0.965,0.975,0.963,0.992
A_{94},0.856,0.862,0.851,0.83,0.473,0.515,0.478,0.469,0.363,0.405,0.362,0.472,0.983,0.988,0.982,0.998
A_{95},0.244,0.27,0.244,0.265,0.282,0.29,0.306,0.216,0.226,0.258,0.228,0.306,0.964,0.974,0.962,0.993
A_{96},0.448,0.43,0.436,0.365,0.683,0.713,0.691,0.587,0.338,0.384,0.341,0.465,0.988,0.991,0.987,0.997
A_{97},0.012,0.02,0.003,0.033,0.621,0.646,0.633,0.51,0.48,0.461,0.475,0.511,0.971,0.98,0.969,0.999
A_{98},0.445,0.484,0.425,0.488,0.551,0.61,0.564,0.494,0.508,0.581,0.507,0.66,0.984,0.989,0.983,0.998
A_{99},0.828,0.832,0.825,0.811,0.685,0.676,0.694,0.529,0.392,0.442,0.391,0.508,0.529,0.532,0.517,0.407
A_{100},0.96,0.979,0.957,0.954,0.225,0.234,0.254,0.104,0.542,0.54,0.538,0.587,0.963,0.974,0.96,0.996
