V1,V2,V3,V4,V5,V6
0.9786365655564975,4.678072285164837e-6,0.020528756642495996,1.0589489942360714e-4,7.241048292977913e-4,1.705328663862921e-73
0.9786365656536159,4.678072303606873e-6,0.02052875654851919,1.058948990287921e-4,7.241048265324496e-4,1.7053286777065708e-73
0.9786365654911209,4.678072272750391e-6,0.020528756705757604,1.0589489968938182e-4,0.00072410483115931395,1.7053286545439132e-73
5.567769898345761e-6,0.9999944322029252,2.717520303400215e-11,8.93888191718432e-17,1.2451073392059905e-15,8.21764659908706e-41
0.9786365656692504,4.678072306575721e-6,0.020528756533390397,1.0589489896523283e-4,7.241048260872732e-4,1.7053286799351588e-73
0.9786365656569483,4.678072304239633e-6,0.02052875654529456,1.0589489901524633e-4,7.241048264375713e-4,1.7053286781815546e-73
5.5677699239145226e-6,0.9999944322028995,2.7175203182396834e-11,8.938881971811668e-17,1.2451073468847772e-15,8.217646415576439e-41
5.567769915265175e-6,0.9999944322029081,2.7175203132198125e-11,8.938881953332338e-17,1.24510734428721e-15,8.217646477654102e-41
0.9786365656935886,4.6780723111973165e-6,0.02052875650983964,1.0589489886629255e-4,7.241048253942783e-4,1.7053286834043895e-73
0.9786365656891494,4.6780723103543536e-6,0.020528756514135205,1.0589489888433814e-4,7.241048255206752e-4,1.7053286827716273e-73
0.9786365657591686,4.678072323650378e-6,0.02052875644638119,1.0589489859969204e-4,7.241048235269682e-4,1.705328692752402e-73
0.9786365656699292,4.678072306704603e-6,0.020528756532733644,1.0589489896247545e-4,7.24104826067956e-4,1.7053286800318728e-73
5.567769905147826e-6,0.9999944322029184,2.7175203073479834e-11,8.938881931716912e-17,1.2451073412487695e-15,8.217646550267519e-41
5.5677698966636574e-6,0.9999944322029268,2.7175203024239824e-11,8.938881913590407e-17,1.2451073387008164e-15,8.217646611159516e-41
0.9786365654807089,4.678072270773179e-6,0.020528756715832923,1.0589489973171086e-4,7.241048314557927e-4,1.7053286530596918e-73
0.9786365657032111,4.678072313024552e-6,0.02052875650052829,1.0589489882717375e-4,7.241048251202853e-4,1.705328684776037e-73
0.9786365656746602,4.6780723076029585e-6,0.02052875652815578,1.0589489894324267e-4,7.241048259332472e-4,1.70532868070625e-73
0.9786365656837676,4.678072309332385e-6,0.020528756519343074,1.058948989062173e-4,7.241048256739191e-4,1.7053286820045134e-73
5.567769851103642e-6,0.9999944322029722,2.7175202759820723e-11,8.938881816252132e-17,1.2451073250182684e-15,8.217646938149719e-41
0.978636565665079,4.6780723057835546e-6,0.020528756537426966,1.0589489898219336e-4,7.241048262060637e-4,1.7053286793405194e-73
5.567769832025972e-6,0.9999944322029913,2.7175202649098698e-11,8.938881775493077e-17,1.2451073192888714e-15,8.217647075072934e-41
5.567769896468581e-6,0.999994432202927,2.7175203023107633e-11,8.938881913173815e-17,1.2451073386422403e-15,8.217646612559706e-41
5.567769896492495e-6,0.999994432202927,2.717520302324656e-11,8.938881913224816e-17,1.245107338649415e-15,8.21764661238804e-41
0.9786365657318389,4.6780723184607e-6,0.020528756472826707,1.0589489871079476e-4,7.241048243051485e-4,1.705328688856738e-73
5.5677698449209516e-6,0.9999944322029785,2.7175202723937925e-11,8.938881803042994e-17,1.2451073231614898e-15,8.217646982523691e-41
5.567769896456029e-6,0.999994432202927,2.7175203023034547e-11,8.938881913147012e-17,1.2451073386384538e-15,8.217646612649743e-41
0.9786365656573455,4.678072304315029e-6,0.020528756544910303,1.0589489901363163e-4,7.24104826426262e-4,1.7053286782381573e-73
0.97863656563883,4.678072300799081e-6,0.020528756562826923,1.058948990889032e-4,7.241048269534747e-4,1.705328675598851e-73
5.567769912203714e-6,0.9999944322029112,2.7175203114430315e-11,8.938881946791665e-17,1.2451073433678004e-15,8.217646499626444e-41
0.9786365657249873,4.67807231715968e-6,0.02052875647945661,1.05894898738647e-4,7.24104824500232e-4,1.7053286878800934e-73
0.9786365656637313,4.678072305527672e-6,0.02052875653873104,1.058948989876702e-4,7.241048262444265e-4,1.70532867914845e-73
0.9786365656713563,4.678072306975574e-6,0.020528756531352683,1.0589489895667386e-4,7.241048260273202e-4,1.70532868023534e-73
5.567769946949147e-6,0.9999944322028764,2.7175203316084017e-11,8.93888202102484e-17,1.245107353802525e-15,8.217646250253802e-41
0.9786365656965049,4.67807231175111e-6,0.020528756507017656,1.0589489885443623e-4,7.241048253112365e-4,1.7053286838201038e-73
0.9786365656411136,4.678072301232719e-6,0.020528756560617097,1.0589489907961942e-4,7.241048268884484e-4,1.705328675924399e-73
5.567769896465732e-6,0.999994432202927,2.7175203023091122e-11,8.93888191316759e-17,1.2451073386413734e-15,8.217646612580143e-41
5.5677698983345544e-006,0.9999944322029252,2.7175203033937078e-11,8.938881917160438e-17,1.2451073392026288e-15,8.217646599167287e-41
5.567769899407659e-6,0.999994432202924,2.7175203040165344e-11,8.938881919453125e-17,1.2451073395248994e-15,8.217646591465545e-41
0.9786365655727886,4.678072288258373e-6,0.020528756626731835,1.0589489935738061e-4,7.241048288339306e-4,1.7053286661850695e-73
5.567769936691115e-6,0.9999944322028868,2.7175203256548943e-11,8.938881999108608e-17,1.2451073507218218e-15,8.217646323877243e-41
5.567769896607075e-6,0.9999944322029268,2.7175203023911375e-11,8.938881913469665e-17,1.2451073386838123e-15,8.217646611565793e-41
0.9786365656797246,4.678072308564577e-6,0.020528756523255264,1.0589489892265571e-4,7.241048257890523e-4,1.7053286814281113e-73
0.978636565763757,4.678072324521719e-6,0.02052875644194101,1.058948985810366e-4,7.241048233963066e-4,1.7053286934065052e-73
5.5677698964544174e-6,0.999994432202927,2.717520302302518e-11,8.938881913143392e-17,1.2451073386379673e-15,8.217646612661304e-41
