V1,V1,V1,V1
0.6659425829256009,0.686895168426047,0.3171806002851424,0.5565733024479746
0.8283577630541639,0.483725623859853,0.5737203906199594,0.7902927743446229
0.4084823242439307,0.7747312950573001,0.4763858472655541,0.1858365573723498
0.39485708190270913,0.4833366002365685,0.20618585070483508,0.8357932545477109
0.3485771644761915,0.6466487579216585,0.1786841678657559,0.8044831017862114
0.35435694373274174,0.5167842079276447,0.6055699228903071,0.7820332192011992
0.9820194214399914,0.38605935203735486,0.5724593070822506,0.7987320809765303
0.6949913679305131,0.8114174626580313,0.7482752656060315,0.7043713075379343
0.36454465320420254,0.5180688233012667,0.34708607655877033,0.33968402710037965
0.5621358755235384,0.6045843746125963,0.3112411410005996,0.8532632234334704
0.21609850641792427,0.8811683877691332,0.24895774303694032,0.6648756251814573
0.3298591674708406,0.5717035403621513,0.40166541698244,0.7436209816505469
0.809539932839284,0.6426474296636129,0.4392986046250909,0.8128613613846006
0.6868137196557524,0.802261408608716,0.4130468050953372,0.8801516790292102
0.26942889233474127,0.18102742547210987,0.4001588928656347,0.8161610489369886
0.9027468882811144,0.8153840745720705,0.4004000242094968,0.5337404497225939
0.5651648267778787,0.494037703604043,0.5143400548638973,0.8134802345467618
0.4124033476642483,0.3527348767965197,0.29329903692169496,0.8398289662971327
0.8140777847866573,0.570205276866985,0.40355094357348575,0.8674831293910091
0.3727853062618861,0.3967715710096823,0.4046439913778654,0.8412313715210319
0.1641898731193634,0.4760559267790098,0.39267371055305583,0.7189354519060667
0.8606787276520348,0.36221345537820154,0.693252510345618,0
0.4195564488743477,0.5200236852932679,0.2518368642044836,0.8794589444082381
0.20621097601151603,0.33945737258885833,0.4805785550265194,0.8389797069257524
0.5832524344102378,0.3740283930093053,0.4495234902741247,0.8016785583428528
0.5339026353580357,0.44911695929350653,0.1160290547491542,0.8993308050873002
0.5672911131394689,0.5269971703663883,0.20894571603732345,0.7650940526565225
0.5253454860840182,0.6770003350227313,0.31700005588172747,0.8919157907291634
